20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,""
Run Date/Time:,,,"2026-09-23 13:59:06"
NonRes Cond. Area:,,,2501
Residential Cond. Area:,,,0
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Standard"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX08_NR_Rstnt\8a\EX08a_NR_Rstnt_SZ-VAV-AC.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,1, 01/01 01,0,0.0456722,2.11529,0,0,0,0.350129,0.500184,1.54182,0,0,2.51109,4.5531,56.7469,0,0,0,0,5.07246,0,20.2518,0,0,0,61.8194,82.0711,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,9.24223,
1,1,2, 01/01 02,0,0.0456722,2.11529,0,0,0,0.262597,0.375138,1.54182,0,0,2.42356,4.34052,60.3993,0,0,0,0,4.94978,0,0,0,0,0,65.3491,65.3491,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,6.17296,
1,1,3, 01/01 03,0,0.0456722,2.11529,0,0,0,0.262597,0.375138,1.54182,0,0,2.42356,4.34052,62.7286,0,0,0,0,4.94936,0,0,0,0,0,67.6779,67.6779,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,2.64704,
1,1,4, 01/01 04,0,0.0456722,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.308269,2.22522,0,0,0,0,0,1.1273,0,0,0,0,0,1.1273,1.1273,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,2.48192,
1,1,5, 01/01 05,0,0.0456722,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.308269,2.22522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,2.45273,
1,1,6, 01/01 06,0,0.0456722,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.308269,2.22522,0,0,0,0,0,1.12728,0,0,0,0,0,1.12728,1.12728,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,2.50096,
1,1,7, 01/01 07,0,0.0456722,0,0,0,0,0.525193,0.750276,1.54182,0,0,0.570866,2.86296,0,0,0,0,0,1.12727,0,0,0,0,0,1.12727,1.12727,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,3.23209,
1,1,8, 01/01 08,0,0.0456722,0,0,0,0,0.425282,0.750276,1.54182,0,0,0.470955,2.76305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-2.55711,0,2.49194,
1,1,9, 01/01 09,0,0.0456722,0,0,0,0,0.612466,1.25046,1.54182,0,0,0.658138,3.45042,0,0,0,0,0,1.12725,0,0,0,0,0,1.12725,1.12725,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-7.76142,0,1.83612,
1,1,10, 01/01 10,0,0.0228361,3.67605,0,0,0,0.612466,1.25046,1.54182,0,0,4.31135,7.10363,47.5066,0,0,0,0,1.12724,0,20.2518,0,0,0,48.6339,68.8856,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-11.9128,0,1.83385,
1,1,11, 01/01 11,0,0,3.67605,0,0,0,0.884672,1.75064,1.54182,0,0,4.56072,7.85318,33.1433,0,0,0,0,10.1538,0,36.4532,0,0,0,43.2972,79.7503,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-14.5069,0,1.83601,
1,1,12, 01/01 12,0,0,3.67605,0,0,0,0.884672,1.75064,1.54182,0,0,4.56072,7.85318,23.7884,0,0,0,0,11.605,0,36.4532,0,0,0,35.3934,71.8466,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-15.4766,0,1.84178,
1,1,13, 01/01 13,0,0,3.67605,0,0,0,0.884672,1.75064,1.54182,0,0,4.56072,7.85318,20.1783,0,0,0,0,8.23044,0,36.4532,0,0,0,28.4087,64.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-15.0502,0,1.8389,
1,1,14, 01/01 14,0,0,3.67605,0,0,0,0.884672,1.75064,1.54182,0,0,4.56072,7.85318,15.4891,0,0,0,0,9.60279,0,36.4532,0,0,0,25.0919,61.5451,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-9.22991,0,1.83925,
